№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
140;Производство и обработка;Промышленные роботы;Неделя 1;Промэнерго Автоматика (universal-cobot.ru);официальный дистрибьютор Universal Robots, JAKA, OnRobot, Rozum Robotics;Манипуляторы, Коботы, Захваты;Запрос дилерских условий;форма на сайте;;;https://universal-cobot.ru/about.php;Дилерство Universal Robots, JAKA, OnRobot, Rozum Robotics — ПРОМКОНТУР, направление «Промышленные роботы»;;;;;;;;;не отправлено;
141;Производство и обработка;Промышленные роботы;Неделя 2;RobSys (jakarobotics.ru);официальный дистрибьютор JAKA, Estun, Carl Cloos, Doosan Robotics;Манипуляторы;Запрос дилерских условий;телефон / e-mail;info@jakarobotics.ru;+7 (343) 521-50-50;https://jakarobotics.ru/;Дилерство JAKA, Estun, Carl Cloos, Doosan Robotics — ПРОМКОНТУР, направление «Промышленные роботы»;;;;;;;;;не отправлено;
142;Производство и обработка;Промышленные роботы;Неделя 1;Промобот / Центр развития промышленной робототехники (promo-bot.ru, robotic-center.ru);российский производитель + сеть партнёров-интеграторов;Сварочные РТК;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://promo-bot.ru/;Партнёрство по привлечению заказчиков — Промышленные роботы;;;;;;;;;не отправлено;
143;Производство и обработка;Промышленные роботы;Неделя 1;АРКОДИМ-Про (arkodimpro.ru);российский производитель линейных декартовых промышленных роботов и станков с ЧПУ на заказ;Паллетайзеры и ячейки, Позиционеры, линейные оси, ограждения;Агентская схема — вознаграждение за заявку;телефон / e-mail;info@arkodimpro.ru;+7 (843) 21-21-357;https://arkodimpro.ru/;Партнёрство по привлечению заказчиков — Промышленные роботы;;;;;;;;;не отправлено;
144;Производство и обработка;Системы машинного зрения;Неделя 1;Сенсотек (sensotek.ru);официальный дистрибьютор Basler, Cognex и Hikrobot в РФ;Промкамеры, Смарт-камеры, Считыватели кодов, Объективы, Подсветка, ПО и контроллеры;Запрос дилерских условий;телефон / e-mail;info@sensotek.ru;+7 (495) 181-56-67;https://sensotek.ru/;Дилерство Basler, Cognex, Hikrobot — ПРОМКОНТУР, направление «Системы машинного зрения»;;;;;;;;;не отправлено;
145;Производство и обработка;Системы машинного зрения;Неделя 2;DataID (dataid.ru);продавец/дистрибьютор Hikrobot;Промкамеры, Смарт-камеры;Запрос дилерских условий;телефон / e-mail;sale@dataid.ru;+7 (495) 256-15-15;https://dataid.ru/;Дилерство Hikrobot — ПРОМКОНТУР, направление «Системы машинного зрения»;;;;;;;;;не отправлено;
146;Производство и обработка;Системы машинного зрения;Неделя 1;RangeVision (rangevision.com);российский производитель 3D-сканеров;3D-сканеры и профилометры;Запрос дилерских условий;форма на сайте (заявка распределяется дистрибьютору);;;https://rangevision.com/can-buy/russian-partners/index__old.php;Дилерство RangeVision — ПРОМКОНТУР, направление «Системы машинного зрения»;;;;;;;;;не отправлено;
147;Производство и обработка;3D-печать для производства;Неделя 1;PICASO 3D (picaso-3d.ru);российский производитель промышленных FDM-принтеров;FDM промышленные, Инженерные пластики;Запрос дилерских условий;форма на сайте / через дилеров;;;https://picaso-3d.ru/;Дилерство PICASO 3D — ПРОМКОНТУР, направление «3D-печать для производства»;;;;;;;;;не отправлено;
148;Производство и обработка;3D-печать для производства;Неделя 1;3Д Альянс (chanhontech.ru);официальный представитель ChanHonTech в России;SLA/DLP;Запрос дилерских условий;телефон / бесплатная линия;;8 (800) 200-77-26, +7 (495) 128-59-05;https://chanhontech.ru/;Дилерство ChanHonTech (CHT) — ПРОМКОНТУР, направление «3D-печать для производства»;;;;;;;;;не отправлено;
149;Производство и обработка;3D-печать для производства;Неделя 1;Globatek (globatek.ru);официальный дилер Farsoon в России, интегратор решений аддитивного производства;SLS, Фотополимеры и порошки;Запрос дилерских условий;телефон;;8 800 333-12-82, +7 495 646-15-33;https://globatek.ru/;Дилерство Farsoon — ПРОМКОНТУР, направление «3D-печать для производства»;;;;;;;;;не отправлено;
150;Производство и обработка;3D-печать для производства;Неделя 2;Jetcom (jetcom-3d.ru);официальный дистрибьютор SoonSer (Китай) в России;Фотополимеры и порошки;Запрос дилерских условий;форма на сайте;;;https://www.jetcom-3d.ru/;Дилерство SoonSer — ПРОМКОНТУР, направление «3D-печать для производства»;;;;;;;;;не отправлено;
151;Производство и обработка;3D-печать для производства;Резерв;RangeVision (rangevision.com);российский производитель 3D-сканеров;3D-сканеры;Запрос дилерских условий;форма на сайте (заявка распределяется дистрибьютору);;;https://rangevision.com/can-buy/russian-partners/index__old.php;Дилерство RangeVision — ПРОМКОНТУР, направление «3D-печать для производства»;;;;;;;;;не отправлено;
152;Производство и обработка;Лабораторное оборудование;Неделя 1;СибПрибор НПО (sib-pribor.ru);производитель испытательного оборудования;Твердомеры и испытательные машины, Сушильные шкафы и термостаты;Запрос дилерских условий;форма на сайте;;;https://sib-pribor.ru/;Дилерство СибПрибор — ПРОМКОНТУР, направление «Лабораторное оборудование»;;;;;;;;;не отправлено;
153;Производство и обработка;Лабораторное оборудование;Неделя 1;СибАгроПрибор (sibagropribor.ru);производитель аналитического оборудования для АПК;Анализаторы и спектрометры;Запрос дилерских условий;анкета дилера на сайте;;;https://sibagropribor.ru/;Дилерство СибАгроПрибор — ПРОМКОНТУР, направление «Лабораторное оборудование»;;;;;;;;;не отправлено;
154;Производство и обработка;Лабораторное оборудование;Неделя 2;ЛАБТЕХ (labteh.com);поставщик лабораторного оборудования, реактивов и мебели;pH-метры и титраторы, Лабораторные насосы, Мебель и посуда;Запрос дилерских условий;форма на сайте;;;https://labteh.com/;Дилерство мультибренд — ПРОМКОНТУР, направление «Лабораторное оборудование»;;;;;;;;;не отправлено;
155;Производство и обработка;Лабораторное оборудование;Неделя 2;Техинтест / Time Group (time-group.ru);эксклюзивный дистрибьютор Time Group Inc. (приборы неразрушающего контроля, твердомеры, толщиномеры) в РФ;Твердомеры и испытательные машины;Запрос дилерских условий;форма на сайте;;;https://time-group.ru/;Дилерство Time Group — ПРОМКОНТУР, направление «Лабораторное оборудование»;;;;;;;;;не отправлено;
156;Производство и обработка;Сепараторы и центрифуги;Неделя 1;Siderus (siderus.ru);продавец оригинального оборудования Alfa Laval (параллельный/оригинальный импорт);Тарельчатые сепараторы, Декантеры, Запчасти и сервис;Агентская схема — вознаграждение за заявку;e-mail / телефон;info@siderus.ru;+7 (499) 647-47-07;https://siderus.ru/;Партнёрство по привлечению заказчиков — Сепараторы и центрифуги;;;;;;;;;не отправлено;
157;Производство и обработка;Сепараторы и центрифуги;Неделя 2;Далкос (dalkos.ru);продавец сепараторов Alfa Laval (топливные/масляные);Сепараторы масел и топлива;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://dalkos.ru/;Партнёрство по привлечению заказчиков — Сепараторы и центрифуги;;;;;;;;;не отправлено;
158;Производство и обработка;Сепараторы и центрифуги;Неделя 1;ТПС / «Технологии Просеивания и Сепарации» (vibro-separator.ru, vibro-sito.ru);официальный представитель SWECO (Бельгия/Италия) в РФ;Гидроциклоны и вибросита, Декантеры;Запрос дилерских условий;телефон / e-mail;info@vibro-separator.ru;+7 (495) 988-86-38;https://vibro-separator.ru/;Дилерство SWECO, SCREENTECH, WEILIANG — ПРОМКОНТУР, направление «Сепараторы и центрифуги»;;;;;;;;;не отправлено;
159;Производство и обработка;Сепараторы и центрифуги;Неделя 2;НТ-Пром (nt-prom.ru);производитель/поставщик центробежного оборудования (горизонтальные фильтрующие осадительные центрифуги);Фильтрующие и осадительные центрифуги;Запрос условий сервиса / КП;e-mail / телефон;info@nt-prom.ru;+7 (495) 363-29-66;https://nt-prom.ru/;Запрос условий для B2B-площадки ПРОМКОНТУР — Сепараторы и центрифуги;;;;;;;;;не отправлено;
160;Логистика, упаковка, пищевые линии;Складская техника;Неделя 1;«НАК Машинери» / «Эксфорк-Трейд» (дистрибьюторы EP Equipment);официальный дистрибьютор бренда EP (Китай) в РФ, региональные дилерские программы;Штабелёры, Погрузчики и ричтраки, Электротележки, Запчасти и навесное;Запрос дилерских условий;e-mail / телефон;"info@ep-com.ru; zakaz@ep-exfork.ru";"8 800 7071 584; +7(495)532-84-81";https://ep-com.ru, https://ep-exfork.ru;Дилерство EP Equipment — ПРОМКОНТУР, направление «Складская техника»;;;;;;;;;не отправлено;
161;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;Heli Eurasia;официальное представительство завода-производителя Anhui Heli в РФ и СНГ;Погрузчики и ричтраки, Штабелёры;Запрос дилерских условий;форма на сайте;;;https://helieurasia.ru;Дилерство Heli — ПРОМКОНТУР, направление «Складская техника»;;;;;;;;;не отправлено;
162;Логистика, упаковка, пищевые линии;Складская техника;Неделя 1;OXLIFT (через ГКНТ / nt-rt.ru);производитель-бренд (Китай) с собственным дилерским прайс-листом;Гидравлические тележки, Электротележки;Запрос дилерских условий;e-mail / телефон;sales@oxlift.ru;8 800 500 78 69;"https://oxlift.ru; https://oxlift.nt-rt.ru";Дилерство OXLIFT — ПРОМКОНТУР, направление «Складская техника»;;;;;;;;;не отправлено;
163;Логистика, упаковка, пищевые линии;Складская техника;Неделя 2;«Складская Лига» (skladliga.ru);официальный дилер Noblelift, CHL, EP в РФ (СПб);Гидравлические тележки, Штабелёры;Запрос дилерских условий;форма на сайте;;;https://skladliga.ru;Дилерство Noblelift — ПРОМКОНТУР, направление «Складская техника»;;;;;;;;;не отправлено;
164;Логистика, упаковка, пищевые линии;Складская техника;Резерв;«Фирито» (firito.ru);поставщик промышленных колёс и роликов, крупная складская сеть по РФ/СНГ;Колёса и ролики;Запрос дилерских условий;форма на сайте / отдел по работе с клиентами;;;https://firito.ru;Дилерство различные (мультибрендовый поставщик) — ПРОМКОНТУР, направление «Складская техника»;;;;;;;;;не отправлено;
165;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 1;ПаллетПак / kondhp.ru;производитель упаковочных станков (30+ лет), приглашает дилеров в РФ и за рубежом;Паллетоупаковщики;Запрос дилерских условий;e-mail / телефон;kondhp@kondhp.ru;+7 800 707-25-15;https://kondhp.ru;Дилерство ПаллетПак — ПРОМКОНТУР, направление «Упаковочное оборудование»;;;;;;;;;не отправлено;
166;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 2;SIAT (через официального дилера siatpack.ru);официальный дилер SIAT Maillis Group (Италия) в РФ;Стреппинг;Запрос дилерских условий;телефон / e-mail;info@siatpack.ru;8 (495) 778-…970;https://siatpack.ru;Дилерство SIAT — ПРОМКОНТУР, направление «Упаковочное оборудование»;;;;;;;;;не отправлено;
167;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 1;Алджипак (algipack.ru);эксклюзивный представитель ряда европейских производителей (Smipack, Ripack, Guilbert Express, ErgoPack, Storopack) в статусе «российский офис»;Термоусадка, Плёнка, лента, расходники;Запрос дилерских условий;телефон;;+7(495)968-28-01;https://algipack.ru;Дилерство Smipack, Ripack, Storopack — ПРОМКОНТУР, направление «Упаковочное оборудование»;;;;;;;;;не отправлено;
168;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 1;ЦШК «Гексагон» (официальный дистрибьютор Zebra Technologies, TSC, Gainscha);официальный дистрибьютор бренда Zebra в РФ;Этикетировщики и принтеры маркировки;Запрос дилерских условий;e-mail / телефон;info@geksagon.ru;+7 (495) 105-97-13;https://zebraprinters.ru;Дилерство Zebra, TSC, Gainscha — ПРОМКОНТУР, направление «Упаковочное оборудование»;;;;;;;;;не отправлено;
169;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Неделя 2;Снабимпэкс (pack.snabimp.ru);мультибрендовый интегратор упаковочного оборудования, 5 дилерских соглашений с фабриками Китая;Запайщики и вакуумные, Паллетоупаковщики;Агентская схема — вознаграждение за заявку;телефон / e-mail;89280385796@snabimp.ru;+7 928 038-57-96;https://pack.snabimp.ru;Партнёрство по привлечению заказчиков — Упаковочное оборудование;;;;;;;;;не отправлено;
170;Логистика, упаковка, пищевые линии;Упаковочное оборудование;Резерв;Robopac (robopacrus.ru);официальный дистрибьютор ROBOPAC (Италия, Сан-Марино) в РФ и СНГ;Скотчеватели и формирователи коробов;Запрос дилерских условий;форма на сайте;;;https://robopacrus.ru;Дилерство Robopac — ПРОМКОНТУР, направление «Упаковочное оборудование»;;;;;;;;;не отправлено;
171;Логистика, упаковка, пищевые линии;Весовое оборудование;Неделя 1;Тензо-М;производитель (СПб, с 1990), крупный завод весов и тензодатчиков;Платформенные, Автомобильные и вагонные, Тензодатчики и терминалы;Запрос дилерских условий;e-mail / телефон / личный кабинет;sales@tenso-m.ru;8 800 555 65 30;https://www.tenso-m.ru;Дилерство Тензо-М — ПРОМКОНТУР, направление «Весовое оборудование»;;;;;;;;;не отправлено;
172;Логистика, упаковка, пищевые линии;Весовое оборудование;Неделя 1;МАССА-К;завод-изготовитель (СПб, с 1991), развитая дилерская/ЦТО-сеть по РФ и СНГ;Платформенные, Паллетные и весы-рохли, Крановые;Запрос дилерских условий;e-mail / телефон;cto@massa.ru;(812) 346-57-05;https://www.massa.ru;Дилерство МАССА-К — ПРОМКОНТУР, направление «Весовое оборудование»;;;;;;;;;не отправлено;
173;Логистика, упаковка, пищевые линии;Весовое оборудование;Неделя 2;Скейл Энтерпрайз (scale.ru);"официальный дистрибьютор весового оборудования CAS, Now Systems, Prisma (крупнейший дистрибьютор CAS в мире); производитель весов «Скейл»";Чеквейеры;Запрос дилерских условий;форма на сайте;;;https://www.scale.ru;Дилерство CAS, Now Systems, Prisma, Скейл — ПРОМКОНТУР, направление «Весовое оборудование»;;;;;;;;;не отправлено;
174;Логистика, упаковка, пищевые линии;Весовое оборудование;Неделя 2;МАНРО Механика (официальный дистрибьютор Transcell);официальный дистрибьютор весовых дозаторов и систем Transcell (Changzhou Transcell, Китай);Весовые дозаторы;Запрос дилерских условий;форма на сайте;;;https://gkmanro.ru/transcell;Дилерство Transcell — ПРОМКОНТУР, направление «Весовое оборудование»;;;;;;;;;не отправлено;
175;Логистика, упаковка, пищевые линии;Весовое оборудование;Резерв;ВЗВТ — Волгоградский завод весоизмерительной техники (tdvzvt.ru);производитель промышленных весов;Крановые, Автомобильные и вагонные;Запрос дилерских условий;форма на сайте;;;https://tdvzvt.ru;Дилерство ВЗВТ — ПРОМКОНТУР, направление «Весовое оборудование»;;;;;;;;;не отправлено;
176;Логистика, упаковка, пищевые линии;Пищевое оборудование;Неделя 1;Alfa L Service (alfalservice.ru);первая российская компания со статусом «Мастер Дистрибьютер» Alfa Laval, аккредитована на поставку, установку и техобслуживание;Санитарные насосы, Пастеризаторы и теплообменники, Санитарная арматура;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://alfalservice.ru;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
177;Логистика, упаковка, пищевые линии;Пищевое оборудование;Неделя 2;Машимпэкс (официальный партнёр GEA Group в РФ);официальный партнёр GEA в РФ, продажа теплообменников и запчастей, взаимозаменяемых с Alfa Laval/Sondex;Пастеризаторы и теплообменники, Санитарная арматура;Агентская схема — вознаграждение за заявку;форма на сайте (через реселлеров E8/sn22.ru и региональные сайты);;;https://novosibirsk.sn22.ru/catalog/plastinchatie-teploobmenniki/mashimpeks-gea/;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
178;Логистика, упаковка, пищевые линии;Пищевое оборудование;Резерв;«Пищевые насосы» (foodpumps.ru);производитель пищевых/химических насосов (Фрязино, с 2001);Санитарные насосы;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://foodpumps.ru;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
179;Логистика, упаковка, пищевые линии;Пищевое оборудование;Резерв;СТИМИНОКС ГРУПП (steaminox.ru);производитель CIP-станций, 60+ реализованных станций за 10 лет;CIP-мойка, Ёмкости и реакторы;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://steaminox.ru;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
180;Логистика, упаковка, пищевые линии;Пищевое оборудование;Резерв;КР-Тех (kr-tec.ru);производитель CIP-станций (централизованных и локальных);CIP-мойка;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://kr-tec.ru;Партнёрство по привлечению заказчиков — Пищевое оборудование;;;;;;;;;не отправлено;
181;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 1;ФГУП «СПО «Аналитприбор» (Смоленск);производитель газоанализаторов (бренды СТМ, АНКАТ, ГИАМ, ГАММА, СГГ, СТГ), с 1960 г.;Стационарные газоанализаторы, Переносные газоанализаторы;Запрос дилерских условий;телефон / e-mail;market@analitpribor-smolensk.ru;8 800 100 19 50;https://analitpribor-smolensk.ru;Дилерство СТМ, АНКАТ, ГИАМ, ГАММА — ПРОМКОНТУР, направление «Средства безопасности»;;;;;;;;;не отправлено;
182;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 1;ГК «Восток-Сервис»;крупнейший производитель/поставщик спецодежды, спецобуви, СИЗ в РФ (120+ филиалов, 280 магазинов, 56 регионов + СНГ);Спецодежда и спецобувь, СИЗ рук, головы, глаз, слуха;Запрос дилерских условий;по региональному филиалу;;;https://vostok.ru;Дилерство Восток-Сервис — ПРОМКОНТУР, направление «Средства безопасности»;;;;;;;;;не отправлено;
183;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 1;НПК СИЗОД / magazinsiz.ru (официальный дистрибьютор 3М);официальный дистрибьютор 3М в РФ;СИЗОД, СИЗ рук, головы, глаз, слуха;Запрос дилерских условий;e-mail / телефон;info@magazinsiz.ru;8 (800) 350 17 31;https://www.magazinsiz.ru;Дилерство 3М, Speedglas, Adflo — ПРОМКОНТУР, направление «Средства безопасности»;;;;;;;;;не отправлено;
184;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 2;ЮНИТ МАРК ПРО (umpgroup.ru) — официальный дистрибьютор Brady в РФ;официальный дистрибьютор Brady;Знаки, ограждения, LOTO;Запрос дилерских условий;телефон;;(495) 748-09-07;https://umpgroup.ru;Дилерство Brady — ПРОМКОНТУР, направление «Средства безопасности»;;;;;;;;;не отправлено;
185;Логистика, упаковка, пищевые линии;Средства безопасности;Неделя 2;АО «Спецавтоматика» / НПП «Спецприбор» (Казань);производитель взрывозащищённых световых/звуковых оповещателей и сигнализаторов, с 1991 г.;Световая и звуковая сигнализация;Запрос дилерских условий;телефон / e-mail;"info@specpribor.ru; market@specpribor.ru";(843) 207-00-66;https://www.specpribor.ru;Дилерство СКОПА, ЗОВ — ПРОМКОНТУР, направление «Средства безопасности»;;;;;;;;;не отправлено;
186;Инфраструктура сделки;Заводы Китая под заказ;Неделя 1;Shenzhen INVT Electric Co., Ltd (INVT);производитель;частотные преобразователи;Завод в Китае: цены, OEM, дистрибуция;e-mail отдела продаж (English);overseas@invt.com;;https://www.invt.com/contact-us;Distribution in Russia — INVT / ПРОМКОНТУР;;;;;;;;;не отправлено;
187;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Denair Energy Equipment Co., Ltd (DENAIR);производитель;компрессоры винтовые;Завод в Китае: цены, OEM, дистрибуция;e-mail (English);info@denair.net;0086 21 5722 3896;https://www.denair.net/contact_us/;Distribution in Russia — Denair / ПРОМКОНТУР;;;;;;;;;не отправлено;
188;Инфраструктура сделки;Заводы Китая под заказ;Неделя 1;Jiangsu Guomao Reducer Co., Ltd (GUOMAO);производитель;мотор-редукторы;Завод в Китае: цены, OEM, дистрибуция;e-mail (English) + телефон;trade@guomaoreducer.com;400-112-5588;https://www.guomaoglobal.com/;Distribution in Russia — Guomao / ПРОМКОНТУР;;;;;;;;;не отправлено;
189;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Boneng Transmission (Shenyang/Tianjin) Co., Ltd;производитель;мотор-редукторы;Завод в Китае: цены, OEM, дистрибуция;форма на региональной странице (English);;024-31292571 (Shenyang, Motor/Gearbox);https://www.boneng.com/English/ez.html;Distribution in Russia — Boneng / ПРОМКОНТУР;;;;;;;;;не отправлено;
190;Инфраструктура сделки;Заводы Китая под заказ;Неделя 1;Nanfang Pump Industry Co., Ltd (CNP);производитель;насосы;Завод в Китае: цены, OEM, дистрибуция;e-mail (русский, через представительство РФ);cnp@cnprussia.ru;+7 800 333-10-74;https://www.cnprussia.ru/;Distribution in Russia — CNP / ПРОМКОНТУР;;;;;;;;;не отправлено;
191;Инфраструктура сделки;Заводы Китая под заказ;Резерв;LEO Group Co., Ltd (LEO PUMP);производитель;насосы;Завод в Китае: цены, OEM, дистрибуция;e-mail (English);export@leopump.com;+86-576-8998 6360;https://www.leopump.com/en/;Distribution in Russia — Leo / ПРОМКОНТУР;;;;;;;;;не отправлено;
192;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Shenyang Machine Tool Co., Ltd (SMTCL) / Shenyang Machine Tool Import & Export Co., Ltd;производитель;токарные станки с ЧПУ;Завод в Китае: цены, OEM, дистрибуция;e-mail (English);info@smtcl-en.com;+86 186-4054-7138;https://www.smtcl-en.com/;Distribution in Russia — SMTCL / ПРОМКОНТУР;;;;;;;;;не отправлено;
193;Инфраструктура сделки;Заводы Китая под заказ;Неделя 2;Xiamen Golden Egret Special Alloy Co., Ltd (GESAC);производитель / офиц. дистрибьютор в РФ;твердосплавные пластины;Завод в Китае: цены, OEM, дистрибуция;форма на сайте / e-mail (через представительство РФ);;;https://gesac.ru/company/;Distribution in Russia — GESAC / ПРОМКОНТУР;;;;;;;;;не отправлено;
194;Инфраструктура сделки;ВЭД-партнёры и байеры;Неделя 1;Global Alians (ООО «Глобал-Альянс»);ВЭД-агент;ВЭД под ключ, проверка поставщика/завода, инспекция партии перед отгрузкой (AQL/PSI);ВЭД-партнёр: импорт под ключ;телефон / форма на сайте;;+7 495 109-79-13;https://global-alians.com/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
195;Инфраструктура сделки;ВЭД-партнёры и байеры;Неделя 2;VED EXPERT (ВЭД Эксперт);ВЭД-агент;ВЭД под ключ, декларирование ТР ТС / EAC;ВЭД-партнёр: импорт под ключ;форма на сайте / телефон;;;https://vedexpert.org/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
196;Инфраструктура сделки;ВЭД-партнёры и байеры;Резерв;WhiteRoute (ООО «ВАЙТРОАД», ИНН 9718294459);ВЭД-агент;ВЭД под ключ;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://whiteroute.ru/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
197;Инфраструктура сделки;ВЭД-партнёры и байеры;Неделя 2;Golden Wings (Guangzhou Golden Wings, gwchina.ru);байер/инспектор;проверка поставщика/завода, инспекция партии перед отгрузкой (AQL/PSI);ВЭД-партнёр: импорт под ключ;форма на сайте / мессенджер;;;https://gwchina.ru/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
198;Инфраструктура сделки;ВЭД-партнёры и байеры;Резерв;NuriProChina;байер/инспектор;проверка поставщика/завода;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://nuriprochina.com/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
199;Инфраструктура сделки;Оплата в юанях;Неделя 1;ВТБ (филиал ВТБ Шанхай);банк;перевод оплаты китайскому заводу в юанях, валютный контроль по 181-И;Запрос условий сервиса / КП;форма на сайте / отделение;;;https://www.vtb.ru/;Запрос условий для B2B-площадки ПРОМКОНТУР — Оплата в юанях;;;;;;;;;не отправлено;
200;Инфраструктура сделки;Оплата в юанях;Неделя 2;Т-Банк (Тинькофф) — платёжные агенты Китай;банк;перевод оплаты китайскому заводу в юанях;Запрос условий сервиса / КП;форма на сайте бизнес-блока;;;https://www.tbank.ru/business/;Запрос условий для B2B-площадки ПРОМКОНТУР — Оплата в юанях;;;;;;;;;не отправлено;
201;Инфраструктура сделки;Оплата в юанях;Резерв;Платёжные агенты общего рынка (GPO, CS-VED и аналоги);платёжный агент;перевод оплаты китайскому заводу в юанях;Запрос условий сервиса / КП;форма на сайте;;;https://cs-ved.ru/;Запрос условий для B2B-площадки ПРОМКОНТУР — Оплата в юанях;;;;;;;;;не отправлено;
202;Инфраструктура сделки;Площадки как канал продаж;Неделя 1;Пульс цен (pulscen.ru);площадка;размещение каталога/прайса как ещё один поставщик, выгрузка YML/1C/CSV на внешние площадки;Размещение на площадке как продавец;форма на сайте / регистрация поставщика;;;https://www.pulscen.ru/about/packets;Размещение поставщика промоборудования — ПРОМКОНТУР;;;;;;;;;не отправлено;
203;Инфраструктура сделки;Площадки как канал продаж;Неделя 2;Промпортал (promportal.su);площадка;размещение каталога/прайса как ещё один поставщик;Размещение на площадке как продавец;форма на сайте;;;https://promportal.su/tarifs.htm;Размещение поставщика промоборудования — ПРОМКОНТУР;;;;;;;;;не отправлено;
204;Инфраструктура сделки;Площадки как канал продаж;Неделя 2;Supl.biz;площадка;получение заявок от закупщиков;Размещение на площадке как продавец;форма на сайте / регистрация поставщика;;;https://supl.biz/prices/;Размещение поставщика промоборудования — ПРОМКОНТУР;;;;;;;;;не отправлено;
205;Инфраструктура сделки;Площадки как канал продаж;Неделя 2;Фабрикант, раздел «Маркет» (fabrikant.ru);площадка;размещение каталога/прайса как ещё один поставщик, получение заявок от закупщиков;Размещение на площадке как продавец;регистрация на сайте;;;https://www.fabrikant.ru/market/supplier/;Размещение поставщика промоборудования — ПРОМКОНТУР;;;;;;;;;не отправлено;
206;Инфраструктура сделки;Площадки как канал продаж;Резерв;B2B-Center (b2b-center.ru);площадка;получение заявок от закупщиков;Размещение на площадке как продавец;регистрация на сайте / отдел продаж;;;https://www.b2b-center.ru/app/tariffs/?group=supplier;Размещение поставщика промоборудования — ПРОМКОНТУР;;;;;;;;;не отправлено;
207;Инфраструктура сделки;Площадки как канал продаж;Резерв;Ozon для бизнеса (Ozon B2B) / Яндекс Маркет для бизнеса;площадка;размещение каталога/прайса как ещё один поставщик;Размещение на площадке как продавец;регистрация продавца через кабинет;;;https://partner.market.yandex.ru/;Размещение поставщика промоборудования — ПРОМКОНТУР;;;;;;;;;не отправлено;
208;Инфраструктура сделки;Факторинг и отсрочка покупателю;Неделя 1;Альфа-Банк — Факторинг для покупателей;банк;отсрочка платежа покупателю до 30 дней, встройка заявки на факторинг в чек-аут;Запрос условий сервиса / КП;форма на сайте / отдел факторинга;;;https://alfabank.ru/corporate/finance/factoring/;Запрос условий для B2B-площадки ПРОМКОНТУР — Факторинг и отсрочка покупателю;;;;;;;;;не отправлено;
209;Инфраструктура сделки;Факторинг и отсрочка покупателю;Неделя 2;Т-Банк — факторинг для контрактов с отсрочкой;банк;отсрочка платежа покупателю до 30 дней, финансирование поставщика под дебиторку;Запрос условий сервиса / КП;форма на сайте бизнес-блока;;;https://www.tbank.ru/corporate/factoring/;Запрос условий для B2B-площадки ПРОМКОНТУР — Факторинг и отсрочка покупателю;;;;;;;;;не отправлено;
210;Инфраструктура сделки;Факторинг и отсрочка покупателю;Резерв;ВТБ Факторинг;банк;финансирование поставщика под дебиторку;Запрос условий сервиса / КП;форма на сайте;;;https://www.vtbf.ru/msb/regressnyj-faktoring;Запрос условий для B2B-площадки ПРОМКОНТУР — Факторинг и отсрочка покупателю;;;;;;;;;не отправлено;
