№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Дропшип;Отгрузка клиенту;Нейтрально;Мин. заказ;Фид;Приём заказа;Оплата;Срок отгрузки;Возвраты;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
136;Механика, привод, запчасти;Запчасти для производства;Неделя 2;ARP (arp-parts.ru);производитель;Ремкомплекты насосов и компрессоров, РТИ и кольца, Прокладки и паронит;Дропшиппинг: прямая отгрузка нашим клиентам;телефон;;+7 (495) 540-43-57;https://arp-parts.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: ARP — ПРОМКОНТУР;;;;;;;;;не отправлено;
137;Механика, привод, запчасти;Запчасти для производства;Неделя 2;ОМЗ «Леотек» (leotec.ru);контрактное производство полного цикла (изготовление деталей по чертежам, ЧПУ);Изготовление деталей по чертежу (контрактные ЧПУ-производства с B2B-сервисом заказа);Запрос условий сервиса / КП;e-mail / форма на сайте;cnc@leotec.ru;8 800 333-71-55;https://www.leotec.ru/metalloobrabotka/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Запчасти для производства;;;;;;;;;не отправлено;
138;Механика, привод, запчасти;Запчасти для производства;Неделя 2;ВТМ (vtmehanika.ru);контрактное производство деталей на станках с ЧПУ на заказ;Изготовление деталей по чертежу (контрактные ЧПУ-производства с B2B-сервисом заказа);Запрос условий сервиса / КП;e-mail / форма на сайте;VTMEHANIKA@GMAIL.COM;+7 (495) 762 01 77;https://vtmehanika.ru/izgotovlenie-detalej-na-zakaz/izgotovlenie-detalej-chpu-na-zakaz/;неизвестно;неизвестно;неизвестно;минимальная стоимость заказа 5000 руб. (не дропшип-порог);нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Запчасти для производства;;;;;;;;;не отправлено;
139;Механика, привод, запчасти;Запчасти для производства;Резерв;Xingtai S&P Mechanical Seal Factory (bpseal.com) и кластер Синтая;производитель (Китай);Торцевые уплотнения;ВЭД-партнёр: импорт под ключ;форма на сайте / Alibaba;;;https://bpseal.com;нет;нет;неизвестно;неизвестно;нет;форма на сайте / Alibaba;неизвестно;недели (международная доставка + инженерный подбор);неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
140;Механика, привод, запчасти;Запчасти для производства;Резерв;ГК «Новые технологии» / СПЕЦИЗДЕЛИЕ (pgsi.nt-rt.ru);дистрибьютор;Ремкомплекты насосов и компрессоров, Запчасти для станков и линий;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;png@nt-rt.ru;+7 (495) 268-04-70;https://pgsi.nt-rt.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail / телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: СПЕЦИЗДЕЛИЕ — ПРОМКОНТУР;;;;;;;;;не отправлено;
141;Механика, привод, запчасти;Конвейерное оборудование;Неделя 2;ООО «Русконбельт» (rusconbelt.ru);офиц. дилер;Ролики и роликоопоры, Ленты, Мотор-барабаны, Приводные барабаны, Конвейеры под заказ;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;info@rusconbelt.ru;+7 (495) 234-23-57;https://rusconbelt.ru/kontakty/;неизвестно;неизвестно;неизвестно;неизвестно;нет;телефон / e-mail;неизвестно;неизвестно (заявлен «постоянный склад стандартных типоразмеров» по данным разведки, срок отгрузки на сайте не проверен);неизвестно;Сотрудничество по дропшиппингу: Interroll — ПРОМКОНТУР;;;;;;;;;не отправлено;
142;Механика, привод, запчасти;Конвейерное оборудование;Неделя 2;ООО «Детали машин» (bearing-spb.ru) — авторизованный дистрибьютор TSUBAKI;офиц. дистрибьютор;Цепи;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;sales@bearing-spb.ru;+7 (812) 676-28-16;https://www.bearing-spb.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail / телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Tsubaki — ПРОМКОНТУР;;;;;;;;;не отправлено;
143;Механика, привод, запчасти;Конвейерное оборудование;Неделя 2;ЦЕНТРОБЕЛТ (centrobelt.ru);поставщик очистителей конвейерных лент Flexco в России;Очистители лент и футеровка;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;info@centrobelt.ru;+7 495 133-95-28;https://centrobelt.ru/Flexco/Belt-Cleaning-Systems/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Flexco — ПРОМКОНТУР;;;;;;;;;не отправлено;
144;Механика, привод, запчасти;Конвейерное оборудование;Неделя 2;ООО «Футурум» (futerovka-futurum.ru);российский производитель быстросъёмных элементов футеровки барабанов;Очистители лент и футеровка;Запрос условий сервиса / КП;форма на сайте / e-mail;futerovkaooo@inbox.ru;;https://futerovka-futurum.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Конвейерное оборудование;;;;;;;;;не отправлено;
145;Механика, привод, запчасти;Конвейерное оборудование;Резерв;Tangshan Jieli Electromechanical Equipment (Китай);производитель (Китай, без РФ-представительства);Ролики и роликоопоры;ВЭД-партнёр: импорт под ключ;форма на сайте / Alibaba;;;;нет;нет;неизвестно;"MOQ 100 000 шт (для выгодной цены); от 20 шт по цене, сопоставимой с розницей РФ";нет;форма на сайте / Alibaba;неизвестно;недели (международная доставка);неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
146;Механика, привод, запчасти;Подъёмное оборудование;Неделя 1;ООО ТД ТОР (gkrem.ru/dealer);дилерская сеть;Электротали, Ручные тали и лебёдки, Электролебёдки, Кран-балки, Запчасти;Дропшиппинг: прямая отгрузка нашим клиентам;личный кабинет дилера / телефон;;8-800-956-96-96;https://gkrem.ru/dealer/;да;да — прямая цитата «Доставка напрямую вашим клиентам»;неизвестно — про нейтральную упаковку/документы явно не сказано, требует уточнения;"первый заказ минимум 50 000 ₽ (порог входа в дилерскую программу; применим ли к каждому дропшип-заказу — неизвестно)";да — «выгрузка электронного каталога вам на сайт», формат (YML/XML/API) не уточнён на сайте;личный кабинет дилера (цена/наличие/срок онлайн, ЭДО в рамках кабинета);отсрочка платежей возможна (заявлено);неизвестно (конкретные сроки не указаны, но заявлено «более 1500000 единиц товара в наличии» на 28 филиалах);неизвестно;Сотрудничество по дропшиппингу: TOR — ПРОМКОНТУР;;;;;;;;;не отправлено;
147;Механика, привод, запчасти;Подъёмное оборудование;Неделя 2;TOR Industries — прямой представитель (tor-industries.pro);офиц. представитель;Электротали, Кран-балки;Дропшиппинг: прямая отгрузка нашим клиентам;телефон;zakaz@tor-industries.pro;+7 (499) 302-34-08;https://www.tor-industries.pro;неизвестно;неизвестно;неизвестно;неизвестно;нет;телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: TOR — ПРОМКОНТУР;;;;;;;;;не отправлено;
148;Механика, привод, запчасти;Подъёмное оборудование;Резерв;ООО «ВЕКТОР» (tor-1.ru) — офиц. представитель TOR;офиц. представитель;Электротали, Ручные тали и лебёдки, Электролебёдки;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://tor-1.ru;неизвестно;неизвестно;неизвестно;неизвестно (бесплатная доставка от 50 000 ₽ упомянута в известных данных, не проверена на сайте напрямую);нет;форма на сайте;неизвестно;самовывоз в день оплаты (заявлено);неизвестно;Сотрудничество по дропшиппингу: TOR — ПРОМКОНТУР;;;;;;;;;не отправлено;
149;Механика, привод, запчасти;Подъёмное оборудование;Резерв;Nucleon (Xinxiang) Crane Co. (Китай);производитель (без подтверждённого РФ-дистрибьютора);Козловые и консольные краны, Электротали;ВЭД-партнёр: импорт под ключ;форма на сайте / Alibaba;;;;нет;нет;неизвестно;неизвестно;нет;форма на сайте / Alibaba;неизвестно;недели (международная доставка крупногабарита);неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
150;Механика, привод, запчасти;Промышленная химия;Неделя 1;ЛЛК-Интернешнл / ЛУКОЙЛ (b2b.lukoil-shop.ru, licard.ru);производитель;Гидравлические масла, Редукторные и индустриальные, Смазки;Дропшиппинг: прямая отгрузка нашим клиентам;телефон;help@b2b.lukoil-shop.ru;8 800 700-8-700;https://b2b.lukoil-shop.ru;частично;неизвестно — способ доставки выбирается при оформлении заказа, но привязка к адресу конечного клиента ПРОМКОНТУРа не подтверждена;неизвестно;от 1 шт (поштучная продажа заявлена);остатки в реальном времени на витрине сайта — доступность через API/фид для внешней синхронизации не подтверждена;личный кабинет на сайте b2b.lukoil-shop.ru;"оплата по счёту в личном кабинете; с 01.04.26 обязателен ЭДО для УОТ";неизвестно (обработка заказов и отгрузка 9:00–18:00 в будни, заявлено);неизвестно;Сотрудничество по дропшиппингу: ЛУКОЙЛ — ПРОМКОНТУР;;;;;;;;;не отправлено;
151;Механика, привод, запчасти;Промышленная химия;Неделя 2;SINTEC Lubricants (sinteclubricants.ru);производитель;Гидравлические масла, Редукторные и индустриальные, Компрессорные и турбинные, Смазки, Антикоррозионные составы;Дропшиппинг: прямая отгрузка нашим клиентам;форма «Стать дистрибьютором»;info@sintec.pro;8 800 201 40 40;https://sinteclubricants.ru/kompaniya/cooperation/;неизвестно;неизвестно;неизвестно;неизвестно;нет;форма на сайте;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: SINTEC — ПРОМКОНТУР;;;;;;;;;не отправлено;
152;Механика, привод, запчасти;Промышленная химия;Неделя 2;Гремлос (gremlos.ru);российский производитель СОЖ, гидравлических масел и технических жидкостей;СОЖ и масла для металлообработки;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;gremlos@mail.ru;+7 (800) 301-12-93;https://gremlos.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Гремлос — ПРОМКОНТУР;;;;;;;;;не отправлено;
153;Механика, привод, запчасти;Промышленная химия;Неделя 2;ООО «Квадро» / CRC (crc-industries.ru);авторизованный мастер-дистрибьютор-импортёр CRC Industries в РФ;Промышленные очистители и обезжириватели;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://crc-industries.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: CRC — ПРОМКОНТУР;;;;;;;;;не отправлено;
154;Механика, привод, запчасти;Промышленная химия;Резерв;ООО «ТК «Гранд» — офиц. дистрибьютор Sinopec (sinopecrussia.ru);офиц. дистрибьютор;Гидравлические масла, Редукторные и индустриальные, Компрессорные и турбинные, Смазки;Запрос дилерских условий;форма на сайте;;;https://sinopecrussia.ru;нет;неизвестно;неизвестно;от 10 бочек (>2000 л);нет;форма на сайте;неизвестно;неизвестно;неизвестно;Дилерство Sinopec / Great Wall Lubricant — ПРОМКОНТУР, направление «Промышленная химия»;;;;;;;;;не отправлено;
155;Механика, привод, запчасти;Промышленная химия;Резерв;«ЭнергоТехСервис» — офиц. дистрибьютор Sinopec GS200-L;офиц. дистрибьютор;Компрессорные и турбинные;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Sinopec — ПРОМКОНТУР;;;;;;;;;не отправлено;
156;Механика, привод, запчасти;Оборудование для металлообработки;Неделя 2;ООО «ПромГрупп» — офиц. дистрибьютор GESAC (gesac.com.ru);офиц. дистрибьютор;Твердосплавные пластины, Свёрла, развёртки, метчики, Фрезы;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;info@promgrupp.ru;+7 (919) 191-71-13;https://gesac.com.ru/contacts;неизвестно;неизвестно;неизвестно;неизвестно;нет;телефон / e-mail;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: GESAC (Xiamen Golden Egret Special Alloy) — ПРОМКОНТУР;;;;;;;;;не отправлено;
157;Механика, привод, запчасти;Оборудование для металлообработки;Неделя 2;«ИЗ-КП» / СИЗ-КП (iz-kp.ru, sizkp.ru), Екатеринбург;офиц. дилер Korloy;Твердосплавные пластины, Фрезы, Свёрла, развёртки, метчики;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;info@sizkp.ru;+7 (343) 251-99-09;https://iz-kp.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail / телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Korloy, YG-1, Триникс — ПРОМКОНТУР;;;;;;;;;не отправлено;
158;Механика, привод, запчасти;Оборудование для металлообработки;Неделя 2;ООО «ЮВЕНДУС» (uvendus.ru), Самара;дистрибьютор;Токарные патроны, Тиски и оснастка, Оправки и цанги;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;order@uvendus.ru;+7 929 703-33-39;https://uvendus.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;интернет-магазин на сайте;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Bison (Польша), БелТапаз (Беларусь), СиСаранкс, Starda Force — ПРОМКОНТУР;;;;;;;;;не отправлено;
159;Механика, привод, запчасти;Оборудование для металлообработки;Неделя 2;Микрон (microntools.ru);крупный поставщик измерительного инструмента;Измерительный инструмент;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;sale03@microntools.ru;+7 (495) 104-72-41, 8 (800) 100-32-09;https://www.microntools.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Micron, мультибренд — ПРОМКОНТУР;;;;;;;;;не отправлено;
160;Механика, привод, запчасти;Оборудование для металлообработки;Резерв;ООО «Московский станкостроительный завод» — офиц. поставщик БЗСП;офиц. дилер;Токарные патроны;Дропшиппинг: прямая отгрузка нашим клиентам;телефон;;8 495 258 82 89;https://mosstanko.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;телефон;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: БЗСП (Барановичский завод станкопринадлежностей) — ПРОМКОНТУР;;;;;;;;;не отправлено;
161;Механика, привод, запчасти;Промышленный инструмент;Неделя 1;ООО ТД ТОР (gkrem.ru/dealer);дилерская сеть;Гидравлические домкраты и съёмники, Пневмоинструмент;Дропшиппинг: прямая отгрузка нашим клиентам;личный кабинет дилера / телефон;;8-800-956-96-96;https://gkrem.ru/dealer/;да;да — см. подробности в записи направления «Подъёмное оборудование»;неизвестно;первый заказ минимум 50 000 ₽;да — выгрузка электронного каталога, формат не уточнён;личный кабинет дилера;отсрочка платежей возможна;неизвестно;неизвестно;Сотрудничество по дропшиппингу: TOR — ПРОМКОНТУР;;;;;;;;;не отправлено;
162;Механика, привод, запчасти;Промышленный инструмент;Неделя 1;ZYBR.BY / ZUBR-Russia (zubr-russia.ru, zubr-rus.ru);дилерская сеть (реселлеры бренда);Электроинструмент, Абразивы, Наборы ручного;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail;zakaz@zubr-russia.ru;+7 (495) 477-51-50;https://zubr-russia.ru/about-us/;частично;неизвестно — логистика по всей РФ подтверждена, адресация на конечного клиента отдельно не описана;неизвестно;неизвестно;нет;телефон / e-mail / онлайн-чат;«честные цены без звёздочек — с вас только товар + доставка» (заявлено, но это не условия для B2B-партнёра, а для конечного покупателя);неизвестно;неизвестно;Сотрудничество по дропшиппингу: ЗУБР — ПРОМКОНТУР;;;;;;;;;не отправлено;
163;Механика, привод, запчасти;Промышленный инструмент;Неделя 2;JONNESWAY (jonnesway.ru);производитель / дилерская сеть;Пневмоинструмент, Динамометрический, Наборы ручного;Дропшиппинг: прямая отгрузка нашим клиентам;форма заявки на дилерство;;;https://www.jonnesway.ru/page/partner/;неизвестно;неизвестно;неизвестно;неизвестно;нет;форма заявки на дилерство;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Jonnesway, Ombra — ПРОМКОНТУР;;;;;;;;;не отправлено;
164;Механика, привод, запчасти;Промышленный инструмент;Неделя 2;ООО «Толсен Рус»;офиц. дистрибьютор;Электроинструмент, Наборы ручного;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail;sales@tolsentools.com;;;неизвестно;неизвестно;неизвестно;неизвестно;нет;e-mail;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Tolsen — ПРОМКОНТУР;;;;;;;;;не отправлено;
165;Механика, привод, запчасти;Промышленный инструмент;Неделя 2;Poliroff (poliroff.ru);единственный производитель хлопковых абразивных кругов и головок в РФ;Абразивы и расходные материалы;Дропшиппинг: прямая отгрузка нашим клиентам;форма «Стать дилером» на сайте;;;https://poliroff.ru/diler/;неизвестно;неизвестно;неизвестно;неизвестно;нет;форма «Стать дилером» на сайте;неизвестно;отгрузка 24–48 ч для 90% позиций в наличии;неизвестно;Сотрудничество по дропшиппингу: Poliroff — ПРОМКОНТУР;;;;;;;;;не отправлено;
166;Механика, привод, запчасти;Промышленный инструмент;Неделя 2;АО «Косулинский абразивный завод» (kosulino.ru);производитель шлифовальных кругов;Абразивы и расходные материалы;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://kosulino.ru/shlifovalnye-krugi/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Косулинский абразивный завод — ПРОМКОНТУР;;;;;;;;;не отправлено;
167;Производство и обработка;Станки и ЧПУ;Неделя 1;Станкоимпорт (si-tools.ru);производитель/прямой поставщик оборудования и инструмента, эксклюзивный импортёр HANS;Токарные ЧПУ и универсальные, Сверлильные и ленточнопильные;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / форма на сайте;;(495) 127-9-777;https://si-tools.ru/;частично;вероятно да — доставка до транспортной компании по всей России, но отгрузка именно на адрес третьего лица (нашего клиента) явно не описана;неизвестно;от 30 000 ₽ (для оптового направления инструмента, opt.si-tools.ru);нет (не найдено YML/API, оптовый прайс — по запросу через форму на сайте);личный кабинет / телефон;"отсрочка платежа 30 дней (для аккредитованных партнёров опт.портала); для новых партнёров по станкам — неизвестно";от 1 дня со склада в Москве (2000 м²);возврат/обмен непроданного товара — риск 0% (для оптовой программы инструмента);Сотрудничество по дропшиппингу: HANS, Станкоимпорт — ПРОМКОНТУР;;;;;;;;;не отправлено;
168;Производство и обработка;Станки и ЧПУ;Неделя 2;Интервесп (intervesp.ru);дистрибьютор станков (металл/дерево/мебель);Токарные ЧПУ и универсальные, Фрезерные и ОЦ;Дропшиппинг: прямая отгрузка нашим клиентам;форма «Дилерам»;;;https://intervesp.ru/company/dileram;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: мультибренд — ПРОМКОНТУР;;;;;;;;;не отправлено;
169;Производство и обработка;Станки и ЧПУ;Резерв;Metal Master (представительство бренда, Москва);производитель/бренд-владелец (Китай, представительство РФ);Токарные ЧПУ и универсальные, Фрезерные и ОЦ, Листогибы, Гильотины и вальцы, Сверлильные и ленточнопильные;Запрос дилерских условий;форма «Стать дилером» / e-mail;info@metalmaster.ru;+7 (495) 374-64-07, 8 (800) 775-78-34;https://metalmaster.ru/dileram/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Дилерство Metal Master — ПРОМКОНТУР, направление «Станки и ЧПУ»;;;;;;;;;не отправлено;
170;Производство и обработка;Станки и ЧПУ;Резерв;Энергостан (energostan.ru);дилер Bodor / продавец широкой линейки листового и лазерного оборудования;Оптоволоконные лазеры, Листогибы, Гильотины и вальцы;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://www.energostan.ru/uslugi/partner/;нет;нет — сделку и отгрузку ведёт сама компания-продавец, а не мы;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Станки и ЧПУ;;;;;;;;;не отправлено;
171;Производство и обработка;Станки и ЧПУ;Резерв;ТД «Мироград» (bodor-rus.ru);«золотой дилер» Bodor в РФ;Оптоволоконные лазеры;Запрос дилерских условий;форма на сайте;;;https://bodor-rus.ru/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Дилерство Bodor — ПРОМКОНТУР, направление «Станки и ЧПУ»;;;;;;;;;не отправлено;
172;Производство и обработка;Станки и ЧПУ;Резерв;Балт-Систем (newbsystem.ru);производитель (устройства ЧПУ, приводы, сервоприводы);Системы ЧПУ и модернизация;Агентская схема — вознаграждение за заявку;форма на сайте;;;http://newbsystem.ru/;нет;нет;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Станки и ЧПУ;;;;;;;;;не отправлено;
173;Производство и обработка;Сварочное оборудование;Неделя 1;КЕДР / ГК «АВАНГАРД» (kedrweld.ru);бренд-владелец, сеть региональных дилеров (продукция Riland/КНР под локальным брендом с EAC);MIG/MAG, TIG, MMA;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / региональное представительство;info@kedrweld.ru;;https://kedrweld.ru/;частично;неизвестно (отгрузка описана дилеру/партнёру, не подтверждена на адрес конечного покупателя);неизвестно;неизвестно;да — XML/YML фид каталога с картинками, характеристиками и ценой (kedrweld.ru/bitrix/catalog_export/kedrweld-yml.xml), частота обновления не указана;личный менеджер / e-mail (msk.order@kedrweld.ru);неизвестно (публично упомянут только резерв товара без предоплаты до 7 дней);неизвестно;неизвестно;Сотрудничество по дропшиппингу: КЕДР — ПРОМКОНТУР;;;;;;;;;не отправлено;
174;Производство и обработка;Сварочное оборудование;Неделя 1;FoxWeld (foxweld.ru);производитель/поставщик с 1998 г., 10 региональных представительств;MIG/MAG, TIG, MMA, Плазменная резка, Горелки и комплектующие;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / e-mail / анкета дилера;info@foxweld.ru;8 (800) 250-78-85;https://foxweld.ru/company/dealers;частично;неизвестно;неизвестно;неизвестно;неизвестно (не найдено YML/API на сайте);анкета дилера / e-mail / телефон;неизвестно;неизвестно (заявлена «оперативная доставка товаров»);неизвестно (заявлена расширенная гарантия до 5 лет через сеть сервис-центров);Сотрудничество по дропшиппингу: FoxWeld — ПРОМКОНТУР;;;;;;;;;не отправлено;
175;Производство и обработка;Сварочное оборудование;Неделя 1;ПО ВИЗ (vizinstrument.ru);оптовый поставщик сварочных электродов торговых марок Denzel, MTX, Сибртех;Проволока и электроды;Дропшиппинг: прямая отгрузка нашим клиентам;интернет-магазин / телефон;;;https://vizinstrument.ru/elektrody-optom.html;частично;вероятно да — доставка транспортными компаниями по указанному адресу, но прямая отгрузка именно на адрес третьего лица (нашего клиента) явно не описана;неизвестно;от 5 000 ₽;нет;интернет-магазин / телефон;неизвестно (сайт интернет-магазина, вероятна предоплата);отгрузка в день заказа;неизвестно;Сотрудничество по дропшиппингу: Denzel, MTX, Сибртех — ПРОМКОНТУР;;;;;;;;;не отправлено;
176;Производство и обработка;Сварочное оборудование;Неделя 2;Сварог / ООО «Металлострой СПб» (svarog-rf.ru, ms-spb.com);официальный дистрибьютор Jasic (Shenzhen Jasic Technology) в РФ под брендом «Сварог»;MIG/MAG;Дропшиппинг: прямая отгрузка нашим клиентам;телефон / форма на сайте / анкета на e-mail;info@svarog-rf.ru;8 800 55-12-123;https://ms-spb.com/;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Сварог, Jasic — ПРОМКОНТУР;;;;;;;;;не отправлено;
177;Производство и обработка;Сварочное оборудование;Неделя 2;ESAB Россия (esab.ru);производитель сварочных материалов и оборудования (локализация в РФ);Горелки и комплектующие, Проволока и электроды;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;info@esab.ru;+7 (495) 663-20-08;https://esab.ru/;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: ESAB — ПРОМКОНТУР;;;;;;;;;не отправлено;
178;Производство и обработка;Сварочное оборудование;Неделя 2;ГК «Восток-Сервис»;крупнейший производитель/поставщик спецодежды, спецобуви, СИЗ в РФ (120+ филиалов, 280 магазинов, 56 регионов + СНГ);Средства защиты сварщика;Дропшиппинг: прямая отгрузка нашим клиентам;по региональному филиалу;;;https://vostok.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Восток-Сервис — ПРОМКОНТУР;;;;;;;;;не отправлено;
179;Производство и обработка;Промышленные роботы;Неделя 2;FANUC Russia (fanuc-russia.ru);официальный сайт/продажи FANUC в России;Коллаборативные роботы;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / через официальных представителей (напр. НКР в Екатеринбурге);;;https://fanuc-russia.ru/roboty/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: FANUC — ПРОМКОНТУР;;;;;;;;;не отправлено;
180;Производство и обработка;Промышленные роботы;Резерв;Промэнерго Автоматика (universal-cobot.ru);официальный дистрибьютор Universal Robots, JAKA, OnRobot, Rozum Robotics;Манипуляторы, Коботы, Захваты;Запрос дилерских условий;форма на сайте;;;https://universal-cobot.ru/about.php;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Дилерство Universal Robots, JAKA, OnRobot, Rozum Robotics — ПРОМКОНТУР, направление «Промышленные роботы»;;;;;;;;;не отправлено;
181;Производство и обработка;Промышленные роботы;Резерв;RobSys (jakarobotics.ru);официальный дистрибьютор JAKA, Estun, Carl Cloos, Doosan Robotics;Манипуляторы;Запрос дилерских условий;телефон / e-mail;info@jakarobotics.ru;+7 (343) 521-50-50;https://jakarobotics.ru/;нет;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Дилерство JAKA, Estun, Carl Cloos, Doosan Robotics — ПРОМКОНТУР, направление «Промышленные роботы»;;;;;;;;;не отправлено;
182;Производство и обработка;Промышленные роботы;Резерв;Промобот / Центр развития промышленной робототехники (promo-bot.ru, robotic-center.ru);российский производитель + сеть партнёров-интеграторов;Сварочные РТК;Агентская схема — вознаграждение за заявку;форма на сайте;;;https://promo-bot.ru/;нет;нет;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Промышленные роботы;;;;;;;;;не отправлено;
183;Производство и обработка;Промышленные роботы;Резерв;АРКОДИМ-Про (arkodimpro.ru);российский производитель линейных декартовых промышленных роботов и станков с ЧПУ на заказ;Паллетайзеры и ячейки, Позиционеры, линейные оси, ограждения;Агентская схема — вознаграждение за заявку;телефон / e-mail;info@arkodimpro.ru;+7 (843) 21-21-357;https://arkodimpro.ru/;нет;нет;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Промышленные роботы;;;;;;;;;не отправлено;
